,name,old_product_price,new_product_price_after,new_product_price_before,Kích thước màn hình,Công nghệ màn hình,Tính năng màn hình,Tần số quét,Kiểu màn hình,Camera sau,Quay video,Tính năng camera,Camera trước,Quay video trước,Chipset,Loại CPU,GPU,Dung lượng RAM,Bộ nhớ trong,Khe cắm thẻ nhớ,Pin,Công nghệ sạc,Cổng sạc,Thẻ SIM,Hệ điều hành,Hồng ngoại,Jack tai nghe 3.5,Công nghệ NFC,Hỗ trợ mạng,Wi-Fi,Bluetooth,GPS,Kích thước,Trọng lượng,Chất liệu mặt lưng,Chất liệu khung viền,"Chỉ số kháng nước, bụi",Tiện ích khác,Công nghệ âm thanh,Cảm biến vân tay,Các loại cảm biến,Tính năng đặc biệt,Thời điểm ra mắt,Độ phân giải màn hình,Công nghệ - Tiện ích,Loại màn hình,Hệ thống làm mát,Cảm biến,Tương thích
433,Huawei Mate 40E,,,,6.5 inches,OLED,,,,50 MP + 16 MP + 8 MP,,,13 MP,,Kirin 9000 8 nhân,,,,,Có,4.100 mAh,,,2 SIM (Nano-SIM),EMUI 11,,,,5G,,v5.2,"A-GPS
QZSS
GALILEO
BDS
GLONASS",Dài 162.9 mm - Ngang 75.5 mm - Dày 8.8 mm,230 g,,,,,,,,,,,,,,,
434,realme C51 4GB 128GB,"3.090.000đ
Khi thu cũ lên đời",3.590.000đ,3.990.000đ,6.74 inches,IPS LCD,"16.7 triệu màu, độ sáng tối đa 560nits",90Hz,Giọt nước,Chính 50 MP & Phụ 0.3 MP,"1080P/30fps
720P/30fps
480P/30fps","Quay chậm (Slow Motion)
Xóa phông)
Toàn cảnh (Panorama))
Ban đêm (Night Mode))
Trôi nhanh thời gian (Time Lapse))
Chuyên nghiệp (Pro))
HDR)
Siêu độ phân giải Bộ lọc màu","5M, f/2.22",,Unisoc UNISOC T612,"12nm process, Octa-core, Up to 1.82GHz",Mali-G57,4GB + Mở rộng 4GB,128 GB,"MicroSD, hỗ trợ tối đa 2 TB",5000mAh,Sạc nhanh 33W SUPERVOOC,USB Type-C,2 SIM (Nano-SIM),realme UI T Edition - Android 13,,Có,,4G,2.4/5GHz Wi-Fi,5.0,GPS /AGPS / GLONASS / Galileo,167.2mm x 76.7mm x 7.99mm*,186g,Nhựa,Nhựa,,,,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, Con quay hồi chuyển","Bảo mật vân tay, Nhận diện khuôn mặt",09/2023,720 x 1600 pixel,,,,,
435,Oppo A77 5G,,,,6.56 inches,IPS LCD,"90Hz, 480 nits (typ)",,,"Camera gốc rộng: 48 MP, f/1.7
Camera gốc sâu: 2 MP, f/2.4,",1080p@30fps,,"Camera gốc rộng: 8 MP, f/2.0",1080p@30fps,MediaTek Dimensity 810 5G 8 nhân,"2x2,4 GHz Cortex-A76 & 6x2,0 GHz Cortex-A55",Mali-G57 MC2,6 GB,128 GB,microSDXC,Li-Po 5000 mAh,"Sạc nhanh 33W, 53% trong 30 phút (được quảng cáo)",USB Type-C,2 SIM (Nano-SIM),"Android 12, ColorOS 12.1",,Có,Có,5G,Wi-Fi 802.11 a / b / g / n / ac,"5.3, A2DP, LE, aptX HD","Có, với A-GPS, GLONASS, BDS, GALILEO, QZSS","163,8 x 75,1 x 8 mm",190 g,Nhựa,Nhựa,,,,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Cảm biến áp kế",,,720 x 1612 (HD+),,,,,
436,Huawei Pocket S,,,,6.9 inches,OLED,"Màn hình chính: OLED có thể gập lại, 1.07 tỉ màu, Tần số quét 120Hz, FHD+, 2790 × 1188 pixels
Màn hình phụ: 1.04 inches, 16.7 triệu màu,120 Hz",,,"Camera góc rộng: 40MP, f/1.8, PDAF, Laser AF
Camera góc siêu rộng: 13MP, f/2.2, 120˚, AF",4K@1080p,"Đèn flash LED, HDR, toàn cảnh","Camera góc siêu rộng: 10,7MP, f/2.2",4K@1080p,Qualcomm SM7325 Snapdragon 778G 4G (6 nm),"4x2,4 GHz Kryo 670 & 4x1,8 GHz Kryo 670",Adreno 642L,8 GB,128 GB,"NM (Bộ nhớ Nano), lên đến 256GB (sử dụng khe cắm SIM chia sẻ)",4000 mAh,"Sạc nhanh 40W
Sạc ngược 5W",USB Type-C,2 SIM (Nano-SIM),HarmonyOS 3.0,,Không,Có,5G,802.11 a / b / g / n / ac / 6,"5.2, A2DP, LE","GPS (L1 + L5), GLONASS (L1), BDS (B1I + B1c + B2a), GALILEO (E1 + E5a), QZSS (L1 + L5), NavIC","Khi mở ra: 170 x 75,5 x 7,2 mm
Gấp lại: 87,3 x 75,5 x 15,2 mm",190 g,,,,,,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế",,,,,,,,
437,Masstel Tab 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Samsung Galaxy S22 Ultra (12GB - 256GB) - Chỉ có tại CellphoneS,"16.690.000đ
Khi thu cũ lên đời",17.190.000đ,33.990.000đ,6.8 inches,Dynamic AMOLED 2X,"Tần số quét 120Hz
Công nghệ HDR10+, 1750 nits",120Hz,Đục lỗ (Nốt ruồi),"108 MP, f/1.8 góc rộng
10 MP, f/4.9
10 MP, f/2.4
12 MP, f/2.2 góc siêu rộng","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+","Đèn LED kép, Quay video hiển thị kép, Chuyên nghiệp (Pro), Tự động lấy nét (AF) , HDR , Toàn cảnh (Panorama), Quay Siêu chậm (Super Slow Motion) , Làm đẹp","40 MP, f/2.2","4K@30/60fps, 1080p@30fps",Snapdragon 8 Gen 1 (4 nm),1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510,Adreno 730,12 GB,256 GB,Không,5000 mAh,"Sạc pin nhanh 45W
Sạc không dây Qi
Sạc không dây ngược 4,5W",USB Type-C,2 Nano-SIM + eSIM,"Android 12, One UI 4.1",Không,Không,Có,5G,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot","5.2, A2DP, LE",GPS GLONASS GALILEO QZSS BEIDOU,163.3 x 77.9 x 8.9 mm,229 g,Kính,Kim loại,IP68,"Trợ lý ảo Samsung Bixby
Chặn cuộc gọi
Chặn tin nhắn
Thu nhỏ màn hình sử dụng một tay
Samsung Pay
Đa cửa sổ (chia đôi màn hình)
Samsung DeX (Kết nối màn hình sử dụng giao diện tương tự PC)
Tối ưu game (Game Booster)","Âm thanh AKG
Âm thanh Dolby Atmos",Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi",02/2022,1440 x 3088 pixels (QHD+),,,,,Bút Spen
439,iPhone 15 512GB | Chính hãng VN/A,"26.990.000đ
Khi thu cũ lên đời",28.490.000đ,31.990.000đ,6.1 inches,Super Retina XDR OLED,"Dynamic Island
HDR display
True Tone
Wide color (P3)
Haptic Touch
Lớp phủ oleophobia chống dấu vân tay
Độ sáng tối đa: 2000 nits
Mật độ điểm ảnh 460 ppi",60Hz,Dynamic Island,"Camera chính: 48MP, 26 mm, ƒ/1.6,
Camerra góc rộng: 12MP, 13 mm, ƒ/2.4
Camera Tele 2x: 12MP, 52 mm, ƒ/1.6","4K@24/25/30/60 fps
HD 1080p@25/30/60 fps
HD 720p@30 fps","Độ thu phóng kỹ thuật số lên đến 10x
Flash True Tone
Photonic Engine
HDR thông minh thế hệ 5
Hiệu ứng Chiếu Sáng Chân Dung với sáu chế độ
Phong Cách Nhiếp Ảnh
Tự động chống rung hình ảnh","12MP, ƒ/1.9","4K@24/25/30/60 fps
HD 1080p@25/30/60 fps",Apple A16 Bionic,CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,GPU 5 lõi,6 GB,512 GB,Không,3349 mAh,"Sạc nhanh
Sạc không dây MagSafe lên đến 15W
Sạc không dây Qi lên đến 7,5W",USB Type-C,2 SIM (nano‑SIM và eSIM),iOS 17,Không,Không,Có,5G,Wi‑Fi 6 (802.11ax),v5.3,"GPS, GLONASS, Galileo, QZSS, and BeiDou",147.6 x 71.6 x 7.80 mm,171g,Kính,Nhôm,Đạt mức IP68 (chống nước ở độ sâu tối đa 6 mét trong vòng tối đa 30 phút),"SOS Khẩn Cấp
Phát Hiện Va Chạm","AAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus, và Dolby Atmos",Không,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, Con quay hồi chuyển, Cảm biến áp kế, Cảm biến trọng lực","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi",2023,2556 x 1179 pixels,Camera TrueDepth hỗ trợ nhận diện khuôn mặt,,,,
440,iPhone 15 256GB | Chính hãng VN/A,"23.290.000đ
Khi thu cũ lên đời",24.790.000đ,25.990.000đ,6.1 inches,Super Retina XDR OLED,"Dynamic Island
HDR display
True Tone
Wide color (P3)
Haptic Touch
Lớp phủ oleophobia chống dấu vân tay
Độ sáng tối đa: 2000 nits
Mật độ điểm ảnh 460 ppi",60Hz,Dynamic Island,"Camera chính: 48MP, 26 mm, ƒ/1.6,
Camerra góc rộng: 12MP, 13 mm, ƒ/2.4
Camera Tele 2x: 12MP, 52 mm, ƒ/1.6","HD 720p@30fps
FullHD 1080p@60fps
FullHD 1080p@30fps
4K 2160p@24fps
4K 2160p@30fps
4K 2160p@60fps
FullHD 1080p@120fps
FullHD 1080p@240fps","Độ thu phóng kỹ thuật số lên đến 10x
Flash True Tone
Photonic Engine
HDR thông minh thế hệ 5
Hiệu ứng Chiếu Sáng Chân Dung với sáu chế độ
Phong Cách Nhiếp Ảnh
Tự động chống rung hình ảnh","12MP, ƒ/1.9",,Apple A16 Bionic,CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,GPU 5 lõi,6 GB,256 GB,Không,3349 mAh,"Sạc nhanh
Sạc không dây MagSafe lên đến 15W
Sạc không dây Qi lên đến 7,5W",USB Type-C,2 SIM (nano‑SIM và eSIM),iOS 17,Có,Không,Có,5G,Wi‑Fi 6 (802.11ax),v5.3,"GPS, GLONASS, Galileo, QZSS, and BeiDou",147.6 x 71.6 x 7.80 mm,171g,Kính,Nhôm,Đạt mức IP68 (chống nước ở độ sâu tối đa 6 mét trong vòng tối đa 30 phút),"SOS Khẩn Cấp
Phát Hiện Va Chạm","AAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus, và Dolby Atmos",Không,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, Con quay hồi chuyển, Cảm biến áp kế, Cảm biến trọng lực","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi",2023,2556 x 1179 pixels,Camera TrueDepth hỗ trợ nhận diện khuôn mặt,,,,
441,iPhone 15 128GB | Chính hãng VN/A,"20.490.000đ
Khi thu cũ lên đời",21.990.000đ,22.990.000đ,6.1 inches,Super Retina XDR OLED,"Dynamic Island
HDR display
True Tone
Wide color (P3)
Haptic Touch
Lớp phủ oleophobia chống dấu vân tay
Độ sáng tối đa: 2000 nits
Mặt kính cảm ứng: Kính cường lực Ceramic Shield",60Hz,Dynamic Island,"Camera chính: 48MP
Camerra góc rộng: 12MP
Camera Tele: 12MP","HD 720p@30fps
FullHD 1080p@60fps
FullHD 1080p@30fps
4K 2160p@24fps
4K 2160p@30fps
4K 2160p@60fps
FullHD 1080p@120fps
FullHD 1080p@240fps","Chế độ hành động
Dolby Vision
HDR
Trôi nhanh thời gian
Zoom kỹ thuật số
Cinematic
Quay chậm
Xóa phông
Deep Fusion
Toàn cảnh
Chống rung quang học (OIS)
Ban đêm
HDR
Zoom quang học
Siêu độ phân giải
Quay Siêu c",12MP,,Apple A16 Bionic,6‑core CPU,5‑core GPU,6 GB,128 GB,,3349 mAh,"Hỗ trợ sạc tối đa: 20 W
Sạc pin nhanh
Tiết kiệm pin
Sạc không dây
Sạc không dây MagSafe",USB Type-C,2 SIM (nano‑SIM và eSIM),iOS 17,,,Có,5G,"Wi-Fi MIMO
Wi-Fi 6
Wi-Fi 802.11 a/b/g/n/ac/ax",v5.3,"GPS, GLONASS, Galileo, QZSS, and BeiDou",147.6 x 71.6 x 7.80 mm,171g,Kính,Nhôm,IP68,"Mở khoá khuôn mặt Face ID, Phát hiện va chạm (Crash Detection)",,,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi",2023,1179 x 2556 pixels,,,,,
442,Vivo Y36 8GB 128GB,,,,6.64 inches,IPS LCD,"Tần số quét 90 Hz, 650 nits",90Hz,Đục lỗ (Nốt ruồi),"Camera chính: 50 MP, f/1.8
Camera phụ: 2 MP, f/2.4",1080p@30fpsHD 720p@30fps,"Phơi sáng kép
Chuyên nghiệp (Pro)
Siêu độ phân giải
Trôi nhanh thời gian (Time Lapse)
Toàn cảnh (Panorama)
Tự động lấy nét (AF)
Ban đêm (Night Mode)
Quay chậm (Slow Motion)
Xóa phông","16 MP, f/2.45",,Snapdragon 680 8 nhân,4 nhân 2.4 GHz & 4 nhân 1.9 GHz,Adreno 610,8 GB,128 GB,"MicroSD, hỗ trợ tối đa 1 TB",5.000 mAh,Sạc nhanh 44 W,USB Type-C,2 SIM (Nano-SIM),Android 13,,Có,Không,4G,"Dual-band (2.4 GHz/5 GHz)
Wi-Fi hotspot
Wi-Fi Direct
Wi-Fi 802.11 a/b/g/n/ac",v5.0,"GPS, BEIDOU, GLONASS, GALILEO, QZSS",164.06 x 76.17 x 8.07 mm,202 g,Kính,Kim loại,IP54,"Ứng dụng kép (Nhân bản ứng dụng)
Đa cửa sổ (chia đôi màn hình)
Tối ưu game (Multi Turbo)
Mở rộng bộ nhớ RAM",Âm thanh Hi-Res Audio,Cảm biến vân tay trong màn hình,"Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến trọng lực","Bảo mật vân tay, Nhận diện khuôn mặt",06/2023,1080 x 2388 pixels,,Màn hình,,,
443,TECNO POVA 5 (8GB - 256GB),"4.100.000đ
Khi thu cũ lên đời",4.600.000đ,5.290.000đ,6.78 inches,TFT LCD,"Tần số quét 120Hz, tần số cảm ứng 240Hz, 580 nits",,,"Camera góc rộng: 50 MP, f/1.66, PDAF
Camera chiều sâu: f/2.0","1440p@30fps, 1080p@30fps",Dual LED flash,"8 MP, f/2.0",1080p@30fps,Mediatek MT8781 Helio G99 (6nm),2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55,Mali-G52 MC2,8 GB,256 GB,,6000mAh,"Sạc nhanh 45W
Sạc ngược 10W",USB Type-C,2 SIM (Nano-SIM),Android 13,Không,Có,,4G,,v5.0,,168.6 x 76.6 x 9 mm,,Nhựa,Nhựa,,,"Loa âm thanh nổi
Âm thanh DTS loa kép
Chứng nhận Hi-Res",Cảm biến vân tay cạnh bên,,,06/2023,1080x2460 pixels,,,Làm mát bằng chất lỏng VC,,
444,TECNO POVA 5 8GB 128GB,"3.600.000đ
Khi thu cũ lên đời",4.100.000đ,4.490.000đ,6.78 inches,TFT LCD,"Tần số quét 120Hz, tần số cảm ứng 240Hz, 580 nits",,,"Camera góc rộng: 50 MP, f/1.66, PDAF
Camera chiều sâu: f/2.0","1440p@30fps, 1080p@30fps",Dual LED flash,"8 MP, f/2.0",1080p@30fps,Mediatek MT8781 Helio G99 (6nm),2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55,Mali-G52 MC2,8 GB,128 GB,,6000mAh,"Sạc nhanh 45W
Sạc ngược 10W",USB Type-C,2 SIM (Nano-SIM),Android 13,Không,Có,,4G,,v5.0,,168.6 x 76.6 x 9 mm,,Nhựa,Nhựa,,,"Loa âm thanh nổi
Âm thanh DTS loa kép
Chứng nhận Hi-Res",Cảm biến vân tay cạnh bên,,,06/2023,1080x2460 pixels,,,Làm mát bằng chất lỏng VC,,
445,Redmi Note 11R,,,,6.58 inches,IPS LCD,"IPS LCD, 90Hz",,,"Camera góc rộng: 13 MP, f/2.2, PDAF
Cảm biến độ sâu: 2 MP, f/2.4",1080p@30fps,"Đèn flash LED, HDR, toàn cảnh","Camera góc rộng: 5 MP, f/2.2",1080p@30fps,MediaTek MT6833 Mật độ 700 (7 nm),"2x2,2 GHz Cortex-A76 & 6x2,0 GHz Cortex-A55",Mali-G57 MC2,4 GB,128 GB,microSDXC,5000 mAh,Sạc nhanh,USB Type-C,2 SIM (Nano-SIM),Android 12,Có,Có,Có,5G,"Wi-Fi 802.11 a / b / g / n / ac, băng tần kép, Wi-Fi Direct, điểm phát sóng","5.1, A2DP, LE","Có, với A-GPS, GLONASS, BDS","164 x 76,1 x 8,9 mm",,Nhựa,Nhựa,,,,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Cảm biến áp kế",,,1080 x 2408 pixels,,,,,
446,Motorola Moto G73,,,,6.5 inches,IPS LCD,Tần số quét 120Hz,,,"Camera góc rộng: 50MP, f/1.8, 1.0µm, PDAF
Camera góc siêu rộng: 8 MP, f/2.2, 118˚, 1.12µm, AF",1080p@30/60fps,"Đèn flash LED, HDR, toàn cảnh","Camera góc rộng: 16MP, f/2.4, 1.0µm",1080p@30fps,Mediatek Dimensity 930 (6 nm),2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55,IMG BXM-8-256v,8 GB,256 GB,microSDXC,5000 mAh,Sạc 30W,USB Type-C,2 SIM (Nano-SIM),Android 13,,Có,Có,5G,802.11 a/b/g/n/ac,v5.3,"GPS, GLONASS, GALILEO","161,4 x 73,8 x 8,3 mm",181 g,Nhựa,Nhựa,,,,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Cảm biến áp kế",,,1080 x 2400 pixels (FullHD+),,,,,
447,Vivo S7t,,,,6.44 inches,AMOLED,,,Tai thỏ,"4K@30fps, 1080p@30fps, gyro-EIS","4K@30fps, 1080p@30fps, gyro-EIS",,"4K@30/60fps, 1080p@30/240fps","4K@30/60fps, 1080p@30/240fps",MediaTek MT6875 Dimensity 820 5G (7 nm),8 nhân: 4 nhân Cortex-A76 tốc độ 2.6GHz và 4 nhân Cortex-A55 tốc độ 2.0GHz,Mali-G57 MC5,8 GB,128 GB,Không,Li-Po 4000 mAh,Sạc nhanh 33W,USB Type-C,2 SIM (Nano-SIM),"Android 11, Funtouch 11",Không,Không,Có,5G,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX HD","Có, hỗ trợ A-GPS, GLONASS, GALILEO, BDS",158.8 x 74.2 x 7.4 mm,170 g,Kính,Kim loại,,,,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế",Hỗ trợ 5G,,1080 x 2400 pixels (FullHD+),,,,,
448,Samsung Galaxy A55,,,,6.5 inches,AMOLED,"Tần số quét 90 Hz, mật độ điểm ảnh 396 ppi, kính cường lực Corning Gorilla Glass.",,,"Camera chính: 48 MP, f/1.8
Camera macro: 2 MP, f/2.4
Camera đo độ sâu: 2 MP, f/2.4",,,"8 MP, f/2.0.",,Snapdragon 765G.,,,4 GB,128 GB,Không,4.500 mAh,Sạc nhanh 30 W.,,,,,,,,,,,,,,,,,,,,,,1080 x 2400 pixels (FullHD+),,,,,
449,OPPO Find X6,,,,6.7 inches,AMOLED,"AMOLED, 1B màu, 120Hz, HDR10 +, 800 nits (chuẩn), 1200 nits (đỉnh), Mật độ 526 ppi",,,"Camera góc rộng: 50 MP, f/1.7, PDAF, Laser AF, OIS
Tele kính tiềm vọng: 13 MP, f/3.0, 129 mm, 1 / 3.4 "", 1.0µm, zoom quang 5x, PDAF, OIS
Camera siêu rộng: 50 MP, f/2.2, PDAF
Camera macro:3 MP","4K@30/60fps, 1080p@30/60fps; con quay hồi chuyển EIS; HDR","Đèn flash hai tông màu LED kép, HDR, toàn cảnh","Camera góc rộng: 32 MP, f/2.4, 1 / 2,8 "", 0,8µm",1080p@30fps,Qualcomm Snapdragon 898 (5nm),"1x2,84 GHz Kryo 485 & 3x2,42 GHz Kryo 485 & 4x1,8 GHz Kryo 585",Adreno 650,12 GB,256 GB,Không,4500 mAh,"Sạc pin nhanh 65W
Sạc nhanh không dây 30W
SuperVOOC 2.0
USB Power Delivery",USB Type-C,2 SIM (Nano-SIM),Android 12,,,Có,5G,"802.11 a / b / g / n / ac / 6, băng tần kép, Wi-Fi Direct, điểm phát sóng","5.1, A2DP, LE","Có, với A-GPS băng tần kép, GLONASS, BDS, GALILEO",Độ dày 8 mm,190 g,,,IP68,,,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển, Cảm biến áp kế",,,1440 x 3216 pixels (QHD+),,,,,
450,Oppo Find X3 Neo,,,,,,,,,,,,,,,,,,,,,,,,,Không,,,,,,,,,,,,,,,,,,,,,,,
451,Xiaomi Redmi K70e,,,,6.67 inches,OLED,"16 triệu màu, tần số quét 120Hz, Dolby Vision, HDR10+, 1200 nits (tối đa), tỷ lệ 20:9
Corning Gorilla Glass Victus",,,"Camera góc rộng: 50 MP, PDAF, OIS
Camera góc siêu rộng: 8 MP, 120˚
Camera macro: 2 MP, f/2.4","4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS","Dual-LED dual-tone flash, HDR, panorama","Camera góc rộng: 20 MP, HDR",1080p@30/60/120fps,Mediatek Dimensity 8300 (4 nm),8 nhân (1x3.1 GHz & 3x3.0 GHz & 4x2.0 GHz),Mali-G610 MC7,8 GB,128 GB,Không,5500 mAh,Sạc nhanh 67W,,2 SIM (Nano-SIM),"Android 13, MIUI 14",,,Có,,,,,,,Kính,Nhựa,,,,,,,,1440 x 3200 pixels (QHD+),,,,,
452,Redmi K60 Pro 5G,,,,6.66 inches,OLED,"Kính cường lực Corning Gorilla Glass Victus
Tần số quét 120Hz
Dolby Vision
HDR10+
Độ sáng 1400 nits
68 tỷ màu",120Hz,Đục lỗ (Nốt ruồi),"Camera góc rộng: 54MP, f/1.9, 1/1.49"", 1.0µm, PDAF, OIS
Camera góc siêu rộng: 8MP, 118˚, 1/4"", 1.12µm
Camera macro: 2 MP, f/2.4","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240/960fps, 720p@1920fps","Đèn flash LED hai tông màu
HDR
Chụp toàn cảnh","Camera góc rộng: 16 MP, 1/3.06"", 1.0µm",1080p@30/60/120fps,Snapdragon 8 Gen 2 (4 nm),1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510,Adreno 740,8 GB,128 GB,Không,5000 mAh,"Sạc có dây 120W, PD3.0, QC3+
Sạc không dây 30W",USB Type-C,2 SIM (Nano-SIM),Android 13,Có,Không,Có,5G,802.11 a/b/g/n/ac/6e,"v5.3, A2DP, LE","GPS (L1+L5), GLONASS (G1), BDS (B1I+B2a+Bc), GALILEO (E1+E5a), QZSS (L1+L5), NavIC",162.8 x 75.4 x 8.6 mm,201 g,,,IP53,,,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Bảo mật vân tay, Kháng nước, kháng bụi",,1440 x 3200 pixels (QHD+),,,,,
453,iPhone 12 128GB | Chính hãng VN/A,"13.190.000đ
Khi thu cũ lên đời",14.190.000đ,17.990.000đ,6.1 inches,OLED,"HDR10
Dolby Vision
True-tone",60Hz,Tai thỏ,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS
12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","Trước: 4K@24/30/60fps, 1080p@30/60/120fps, gyro-EIS
Sau: 4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 30fps), stereo sound rec.","Ban đêm (Night Mode)
Trôi nhanh thời gian (Time Lapse)
Quay chậm (Slow Motion)
Xóa phông
Toàn cảnh (Panorama)
Tự động lấy nét (AF)
Nhận diện khuôn mặt
HDR
Zoom kỹ thuật số
Góc rộng (Wide)
Góc siêu rộng (Ul","12 MP, f/2.2, 23mm (wide), 1/3.6""
SL 3D, (depth/biometrics sensor)","4K@24/30/60fps, 1080p@30/60/120fps, gyro-EIS",Apple A14 Bionic (5 nm),Hexa-core,Apple GPU (4-core graphics),4 GB,128 GB,Không,"Li-Ion, sạc nhanh 20W, sạc không dây 15W, USB Power Delivery 2.0","Sạc nhanh 20W
Power Delivery 2.0",Lightning,2 SIM (nano‑SIM và eSIM),iOS 14.1 hoặc cao hơn (Tùy vào phiên bản phát hành),Không,Không,Có,5G,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","A-GPS, GLONASS, GALILEO, QZSS",146.7 x 71.5 x 7.4 mm,164 g,Kính,Kim loại,IP68,,,Không,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi",,1170 x 2532 pixels,,,,"Face ID, cảm biến gia tốc, cảm biến tiệm cận, con quay hồi chuyển, cảm biên sáng",
