Bluetooth,Bộ nhớ trong,Camera sau,Camera trước,Chipset,Chất liệu,Cảm ứng,Dung lượng Pin,GPS,Ghi âm,Hệ điều hành,Hỗ trợ sạc tối đa,Hỗ trợ thẻ nhớ ngoài,Jack 3.5mm,Kích thước màn hình,Kích thước sản phẩm,Link,Loại SIM,Loại màn hình,Model,Màu sắc,Mạng 4G,Mạng 5G,Mở khóa nhanh,NFC,Name,Nhà sản xuất,Năm ra mắt ,Price,RAM,Radio,Thiết kế,Thời gian bảo hành,Tiện ích khác ĐTDĐ,Tần số quét màn hình,USB,WIFI,Xuất xứ,Đèn Flash,Địa điểm bảo hành,Độ phân giải màn hình,CPU,Chống nước,Khối lượng sản phẩm (gram),Loại pin,Phụ kiện trong hộp,Sạc kèm theo máy (W),Số khe SIM,Video,Độ sáng tối đa,Jack tai nghe,Khối lượng sản phẩm (kg),Loa ngoài,Mạng 3G,Màn hình tràn viền
Bluetooth 5.3,256GB,"Chính 48MP, Phụ 12MP & 12MP",12MP,Apple A17 Pro,"Khung Titan, mặt trước Ceramic Shield, mặt sau Kính nhám",Màn hình luôn bật,Đang cập nhật,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC",,iOS 17,Sạc lên đến 50% trong vòng 30 phút với bộ tiếp hợp nguồn 20W trở lên,,,"6.1 """,146.6 x 70.6 x 8.25 mm,https://www.nguyenkim.com/dien-thoai-iphone-15-pro-256gb-blue-titanium.html,nano-SIM và eSIM,"OLED, Super Retina XDR",IPHONE15PRO256GB,Titan Xanh,,Hỗ trợ,Camera TrueDepth hỗ trợ nhận diện khuôn mặt Face ID,Hỗ trợ,Điện thoại iPhone 15 Pro 256GB Titan Xanh,iPhone,2023,30.490.000,,,Nguyên khối,12 Tháng,"Dynamic Island, lớp phủ kháng dầu chống in dấu vân tay, hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",,USB-C,Wi‑Fi 6E (802.11ax) với 2x2 MIMO,Trung Quốc,Có,Nguyễn Kim,2556 x 1179 pixels,Hexa-core (2x + 4x),IP68,187 gram,Tích hợp pin sạc lithium-ion,"Cáp Sạc USB-C (1m), tài liệu",Không,1,Quay video 4K,Tối đa 2000 nit,,,,,
Bluetooth 5.1,64GB,"50MP (Rộng), 2MP (Cận cảnh)",8MP,MT6762,Nhựa,,5000mAh,"GPS/Glonass/Galileo, with A-GPS",,Android 12,,Tối đa 512GB,Hỗ trợ,"6.6 """,164.66 x 75.4 x 8.99 mm,https://www.nguyenkim.com/dien-thoai-tcl-408-4gb-64gb-xam.html,Nano-SIM,HD+,TCL408 (T507U),Xám,"B1/3/5/7/8/13/20/28/38/40/41; Cat 4 DL 150Mbit/s, Cat5 UL 75Mbit/s",Không hỗ trợ,,Có hỗ trợ,Điện thoại TCL 408 4GB/64GB Xám,TCL,2023,2.350.000,4GB,Không hỗ trợ,Nguyên khối,18 Tháng,,,Type-C,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Trung Quốc,,Nguyễn Kim,HD+ (720x1612) pixels,4x A53 2.0GHz + 4x A53 1.5GHz,,190 gram,,"Củ sạc, USB cáp, tấm dán màn hình, HDSD",,2 Nano SIM,"1080P@30fps, MPEG2, H.263, MPEG4, H.264, H.265, VP8, VP9",400nits,Hỗ trợ,,Hỗ trợ,"B1/2/4/5/8; HSPA+ (42Mbps DL, 11Mbps UL)",
Bluetooth 5.0,128GB,Camera chính AI 50MP,5MP,Unisoc T612,Nhựa + Thủy tinh + Nhôm,Mặt kính cảm ứng,5000 mAh,GPS / AGPS / GLONASS / Galileo,Ghi âm mặc định,"Android 13, realme UI T Edition",Sạc nhanh SuperVOOC 33W,Hỗ trợ thẻ nhớ tối đa 2T,,"6.74 """,167.2 x 76.7 x 7.99 mm,https://www.nguyenkim.com/dien-thoai-realme-c51-4gb-128gb-xanh.html,2 Nano SIM và 1 khe thẻ nhớ,IPS LCD,REALMEC514-128 (RMX3830),Xanh Ngọc,Có,Không,Vân tay cạnh viền,,Điện thoại Realme C51 4GB/128GB Xanh ngọc,,2023,3.290.000,4GB,,Nguyên khối,12 Tháng,,90Hz,Type C,"2.4GHz, 5GHz, GSM: 850/900/1800/1900MHz, WCDMA: Bands 1/5/8, FDD-LTE: Bands 1/3/5/8, TD-LTE: Bands 38/40/41",Trung Quốc,Đèn flash đơn,Nguyễn Kim,HD (720x1600) pixels,,Không,186g,Li-po,,,,"1080p @ 30fps, 720p @ 30fps, 480p @ 30fps",560 nits,3.5 mm,,,Có,
Bluetooth 5.0 ,128 MP,0.3 MP,,	Unisoc T107 (22 nm),,,	1450 mAh,,,Series 30+,,,Có,"2.8 """,	131.3 x 56.2 x 13.8 mm,https://www.nguyenkim.com/dien-thoai-nokia-8210-4g-trang.html,2 Nano SIM,,NOKIA8210,Trắng,Có hỗ trợ,,,,Điện thoại Nokia 8210 4G Trắng,Nokia,,1.490.000,48 MP,,,12 Tháng,,,	Micro USB (USB 2.0),,Trung Quốc,,Nguyễn Kim,QVGA (320 x 240) pixels,1.0 GHz Cortex-A7,,,,,,,,,,,,,
"5.1, A2DP, LE",128 GB,"50MP, 2MP",16MP,Qualcomm Snapdragon 680 4G (6 nm),Kính 2.5D,Cảm ứng điện dung đa điểm,5000 mAh,"GPS, GLONASS, GALILEO, BDS, QZSS",Có,"Android 13, Funtouch 13",Sạc nhanh 44W,micro SD,Có,"6.64 """,164.06 x 76.17 x 8.07 mm,https://www.nguyenkim.com/dien-thoai-vivo-y36-8gb-128gb-xanh.html,2 Nano SIM,IPS LCD,VIVOY36 (V2247),Xanh,Hỗ trợ,,Cảm biến vân tay,,Điện thoại Vivo Y36 8GB/128GB Xanh,Vivo,2023,5.590.000,8 GB,FM radio,,12 Tháng,,90Hz,"USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band",Trung Quốc,LED Flash,Nguyễn Kim,Full HD+ (1080 x 2388) pixels,Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),,202g,,,,,1080p@30fps,,,,Có,,
"5.1, A2DP, LE",128 GB,"50MP, 5MP, 2MP",13 MP,Exynos 850 8 nhân,,,5000mAh,"GPS, GALILEO, GLONASS, BDS, QZSS",Có,"Android 13, One UI Core 5",15 W,MicroSD (lên đến 1TB),Có,"6.6 """,167.7 x 78 x 9.1 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a14-den.html,Nano SIM,PLS LCD,A14 (SM-A145F/DS),Đen,Hỗ trợ 4G,,Cảm biến vân tay,,Điện thoại Samsung Galaxy A14 4G 4GB/128GB Đen,Samsung,2023,3.090.000,4 GB,,Nguyên khối,12 Tháng,,60 Hz,USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Việt Nam,Có,Nguyễn Kim,FHD+ 1080 x 2408 pixels,,,,,,,2,1080p@30fps,,,0.201 kg,Âm thanh vòm Dolby Atmos,,
"5.1, A2DP, LE",128 GB,"50MP, 2MP",16MP,Qualcomm Snapdragon 680 4G (6 nm),Kính 2.5D,Cảm ứng điện dung đa điểm,5000 mAh,"GPS, GLONASS, GALILEO, BDS, QZSS",Có,"Android 13, Funtouch 13",Sạc nhanh 44W,micro SD,Có,"6.64 """,164.06 x 76.17 x 8.07 mm,https://www.nguyenkim.com/dien-thoai-vivo-y36-8gb-128gb-den.html,2 Nano SIM,IPS LCD,VIVOY36 (V2247),Đen,Hỗ trợ,,Cảm biến vân tay,,Điện thoại Vivo Y36 8GB/128GB Đen,Vivo,2023,5.590.000,8 GB,FM radio,,12 Tháng,,90Hz,"USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band",Trung Quốc,LED Flash,Nguyễn Kim,Full HD+ (1080 x 2388) pixels,Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),,202g,,,,,1080p@30fps,,,,Có,,
Bluetooth 5.1,64GB,"50MP (Rộng), 2MP (Cận cảnh)",8MP,MT6762,Nhựa,,5000mAh,"GPS/Glonass/Galileo, with A-GPS",,Android 12,,Tối đa 512GB,Hỗ trợ,"6.6 """,164.66 x 75.4 x 8.99 mm,https://www.nguyenkim.com/dien-thoai-tcl-408-4gb-64gb-xanh.html,Nano-SIM,HD+,TCL408 (T507U),Xanh,"B1/3/5/7/8/13/20/28/38/40/41; Cat 4 DL 150Mbit/s, Cat5 UL 75Mbit/s",Không hỗ trợ,,Có hỗ trợ,Điện thoại TCL 408 4GB/64GB Xanh,TCL,2023,2.350.000,4GB,Không hỗ trợ,Nguyên khối,18 Tháng,,,Type-C,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Trung Quốc,,Nguyễn Kim,HD+ (720x1612) pixels,4x A53 2.0GHz + 4x A53 1.5GHz,,190 gram,,"Củ sạc, USB cáp, tấm dán màn hình, HDSD",,2 Nano SIM,"1080P@30fps, MPEG2, H.263, MPEG4, H.264, H.265, VP8, VP9",400nits,Hỗ trợ,,Hỗ trợ,"B1/2/4/5/8; HSPA+ (42Mbps DL, 11Mbps UL)",
Bluetooth 5.1,64GB,Chính 50MP,5MP,MediaTek Helio G85,Đang cập nhật,,5000mAh,"GPS, GLONASS, GALILEO, BEIDOU",Có,Android 13,10 W,"MicroSD, lên đến 1TB",Có,"6.71 """,168.8x76.4x8.8 mm,https://www.nguyenkim.com/dien-thoai-xiaomi-redmi-12c-4gb-64gb-xam.html,Nano SIM,IPS LCD,REDMI12C(4+64),Xám,Hỗ trợ 4G,,"Cảm biến vân tay, Mở khóa khuôn mặt",,Điện thoại Xiaomi Redmi 12C 4GB/64GB Xám,Xiaomi,2023,2.590.000,4 GB,,Đang cập nhật,18 Tháng,,60 Hz,Micro USB,Wifi 802.11a/b/g/n/ac,Trung Quốc,Có,Nguyễn Kim,HD+ (1650 × 720) pixels,,,,,,,2,,,,0.192 kg,,,
Bluetooth 5.1,64GB,Chính 50MP,5MP,MediaTek Helio G85,Đang cập nhật,,5000mAh,"GPS, GLONASS, GALILEO, BEIDOU",Có,Android 13,10 W,"MicroSD, lên đến 1TB",Có,"6.71 """,168.8x76.4x8.8 mm,https://www.nguyenkim.com/dien-thoai-xiaomi-redmi-12c-4gb-64gb-xam.html,Nano SIM,IPS LCD,REDMI12C(4+64),Xám,Hỗ trợ 4G,,"Cảm biến vân tay, Mở khóa khuôn mặt",,Điện thoại Xiaomi Redmi 12C 4GB/64GB Xám,Xiaomi,2023,2.590.000,4 GB,,Đang cập nhật,18 Tháng,,60 Hz,Micro USB,Wifi 802.11a/b/g/n/ac,Trung Quốc,Có,Nguyễn Kim,HD+ (1650 × 720) pixels,,,,,,,2,,,,0.192 kg,,,
,"32 GB e-MMC 5.1, hỗ trợ thẻ nhớ ngoài 64GB","5MP, f2.2 với đèn Flash","5MP, f2.2 với đèn Flash",SC9863A 8 nhân | 1.6GHz,,,"2950 mAh, pin rời",GPS/AGPS,,Android 11 (phiên bản Go),,,Có,"6.5 """,169.9 x 77.9 X 8.8 mm,https://www.nguyenkim.com/dien-thoai-nokia-c20-2gb-32gb-vang.html,,"chuẩn HD+ giọt nước, tỉ lệ 20:9",NOKIAC20,Vàng,,,Mở khóa khuôn mặt,,Điện thoại Nokia C20 2GB/32GB Vàng,Nokia,,1.350.000,2 GB DDR3 DRAM,,,12 Tháng,,,Micro USB (USB 2.0),802.11 b/g/n,Trung Quốc,,Nguyễn Kim,,,,,,,,,,,,,,,
v5.3,256GB,12MP + 12MP,10MP,Snapdragon® 8 Gen 2 dành cho Galaxy,Khung viền: Armor aluminum và mặt lưng Gorilla Glass Victus 2,Có,3700mAh,"GPS,Glonass,Beidou,Galileo,QZSS",Có,"Android 13, One UI 5.1.1",Sạc nhanh 25W,Không,Không,"Chính 6.7"". Phụ 3.4 """,Mở: 165.1 x 71.9 x 6.9 mm. Đóng: 85.1 x 71.9 x 15.1 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-z-flip-5-5g-8gb-256gb-xanh.html,Nano-SIM and Esim,Chính: Dynamic AMOLED 2XPhụ: Super AMOLED,FLIP 5 256GB (SM-F731B),Xanh Bạc Hà,,Có,"Mở khoá khuôn mặt, Mở khoá vân tay cạnh viền",Có,Điện thoại Samsung Galaxy Z Flip 5 5G 8GB/256GB Xanh bạc hà,Samsung,2023,17.490.000,8GB,Không,"Nguyên khối, Màn hình gập",12 Tháng,Samsung Pay,120Hz,Type-C,"802.11 a/b/g/n/ac/ax 2.4G+5GHz+6GHz, HE160, MIMO, 1024-QAM",Việt Nam,Có,Nguyễn Kim,Chính 1080 x 2640 pixels. Phụ: 720 x 748 pixels,,IPx8,187g,,,,,UHD 4K (3840 x 2160)@60fps,,Không,,Có,,
v5.0,32 GB,"50 MP, 2 MP",5 MP,MediaTek Helio P35 8 nhân,Khung & Mặt lưng nhựa,Kính cường lực Corning Gorilla Glass 3,5000 mAh,Có,"Ghi âm mặc định, Ghi âm cuộc gọi",Android 12,15 W,"MicroSD, hỗ trợ tối đa 1 TB",Có,"6.5 """,164.4 x 76.3 x 9.1 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a04-3gb-32gb-den.html,,IPS LCD,SM-A045F/DS,Đen,Hỗ trợ 4G,,Mở khoá khuôn mặt,,Điện thoại Samsung Galaxy A04 3GB/32GB Đen,Samsung,2022,1.990.000,3 GB,Có,Nguyên khối,12 Tháng,,60 Hz,Type-C,Wi-Fi 802.11 a/b/g/n/ac,Việt Nam,,Nguyễn Kim,HD+ (720 x 1600) pixels,,Không có,,,,,2 nanoSIM,,,,,,,Có
Bluetooth 5.0,128GB,Camera chính AI 50MP,5MP,Unisoc T612,Nhựa + Thủy tinh + Nhôm,Mặt kính cảm ứng,5000 mAh,GPS / AGPS / GLONASS / Galileo,Ghi âm mặc định,"Android 13, realme UI T Edition",Sạc nhanh SuperVOOC 33W,Hỗ trợ thẻ nhớ tối đa 2T,,"6.74 """,167.2 x 76.7 x 7.99 mm,https://www.nguyenkim.com/dien-thoai-realme-c51-4gb-128gb-den.html,2 Nano SIM và 1 khe thẻ nhớ,IPS LCD,REALMEC514-128 (RMX3830),Đen,Có,Không,Vân tay cạnh viền,,Điện thoại Realme C51 4GB/128GB Đen,Realme,2023,3.290.000,4GB,,Nguyên khối,12 Tháng,,90Hz,Type C,"2.4GHz, 5GHz, GSM: 850/900/1800/1900MHz, WCDMA: Bands 1/5/8, FDD-LTE: Bands 1/3/5/8, TD-LTE: Bands 38/40/41",Trung Quốc,Đèn flash đơn,Nguyễn Kim,HD (720x1600) pixels,,Không,186g,Li-po,,,,"1080p @ 30fps, 720p @ 30fps, 480p @ 30fps",560 nits,3.5 mm,,,Có,
"5.0, A2DP, LE",64 GB,8MP,5MP,Mediatek Helio P35 (12nm),Nhựa,Cảm ứng điện dung đa điểm,5000 mAh,"GPS, GLONASS, GALILEO, BDS, QZSS",,"Android 13, Funtouch 13",10W,,Có,"6.51 """,163.99 x 75.63 x 8.49 mm,https://www.nguyenkim.com/dien-thoai-vivo-y02t-4gb-64gb-den-xam.html,2 Nano SIM,IPS LCD,VIVOY02T (V2254),Đen xám,Hỗ trợ,,,,Điện thoại Vivo Y02T 4GB/64GB Đen xám,Vivo,2023,2.690.000,4 GB,FM radio,Nguyên khối,12 Tháng,,,"Micro USB 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band",Trung Quốc,LED Flash,Nguyễn Kim,HD+ (720 x 1600) pixels,Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),,186g,,,,,1080p@30fps,,,,Có,,
Bluetooth 5.0,128 GB,"50MP, 2MP",8 MP,Qualcomm Snapdragon 680,Khung nhựa & Mặt lưng thuỷ tinh hữu cơ,,5000 mAh,Có,Có,Android 12 (ColorOS 12.1),Sạc siêu nhanh SUPERVOOC 33W,Có,Có,"6.56 """,163.4 x 75.03 x 7.99 mm,https://www.nguyenkim.com/dien-thoai-oppo-a77s-8gb-128gb-xanh.html,,IPS LCD,A77S (CPH2473),Xanh,Hỗ trợ 4G,,Cảm biến vân tay (cạnh bên),,Điện thoại OPPO A77s 8GB/128GB Xanh,OPPO,10/2022,4.790.000,8 GB,,Nguyên khối,12 Tháng,,90 Hz,Type C,Wi-Fi 802.11 a/b/g/n/ac,Trung Quốc,,Nguyễn Kim,HD+ (1612 x 720) pixels,,IPX4,,,,,2 Nano SIM,,,,,,,
"5.0, A2DP, LE",64 GB,8MP,5MP,Mediatek Helio P35 (12nm),Nhựa,Cảm ứng điện dung đa điểm,5000 mAh,"GPS, GLONASS, GALILEO, BDS, QZSS",,"Android 13, Funtouch 13",10W,,Có,"6.51 """,163.99 x 75.63 x 8.49 mm,https://www.nguyenkim.com/dien-thoai-vivo-y02t-4gb-64gb-xanh-tim.html,2 Nano SIM,IPS LCD,VIVOY02T (V2254),Xanh Tím,Hỗ trợ,,,,Điện thoại Vivo Y02T 4GB/64GB Xanh tím,Vivo,2023,2.690.000,4 GB,FM radio,Nguyên khối,12 Tháng,,,"Micro USB 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band",Trung Quốc,LED Flash,Nguyễn Kim,HD+ (720 x 1600) pixels,Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),,186g,,,,,1080p@30fps,,,,Có,,
5.3,64 GB,50 MP (chính) + VGA - Khẩu độ F/1.8 + F/2.8,5 MP,"MediaTek Helio G35, tối đa 2.3GHz",Khung nhựa & Mặt lưng thuỷ tinh hữu cơ,,5000mAh,Có,Có,Android 12 (ColorOS 12.1.1),10 W,"MicroSD, hỗ trợ tối đa 1 TB",Có,"6.56 """,164.2 x 75.6 x 8.3 mm,https://www.nguyenkim.com/dien-thoai-oppo-a17-4gb-64gb-den.html,2 Nano SIM + 1 thẻ nhớ,LCD,A17 (CPH2477),Đen,Hỗ trợ 4G,,Mở khóa bằng vân tay,,Điện thoại OPPO A17 4GB/64GB Đen,OPPO,2022,3.290.000,4 GB,Có,Nguyên khối,12 Tháng,,60 Hz,Micro USB,"2.4G/5G, 802.11 a/b/g/n/ac",Trung Quốc,,Nguyễn Kim,HD+ (720 x 1612) pixels,,IPX4,,,,,,,,,,,,
v5.0,128 GB,"Chính 50 MP & Phụ 8 MP, 2 MP",13MP,Snapdragon 685 8 nhân,Đang cập nhật,,5000mAh,GPS; GLONASS; GALILEO,Có,Android 13,33 W,"MicroSD, hỗ trợ tối đa 1 TB",Có,"6.67 """,165.66 x 75.96 x 7.85 mm,https://www.nguyenkim.com/dien-thoai-xiaomi-redmi-note-12-4gb-128gb-xanh-duong.html,2 Nano Sim,AMOLED,REDMINOTE12(4+128),Xanh Dương,Hỗ trợ 4G,,Cảm biến vân tay; Nhận diện khuôn mặt,,Điện thoại Xiaomi Redmi Note 12 4GB/128GB Xanh dương,Xiaomi,2023,3.990.000,4 GB,,Đang cập nhật,18 Tháng,,120 Hz,Type-C,Wi-Fi 802.11 a/b/g/n/ac; Dual-band (2.4 GHz/5 GHz),Trung Quốc,Đèn LED kép,Nguyễn Kim,Full HD+ (1080 x 2400) pixels,,IP53,,,,,,HD 720p@30fps; FullHD 1080p@30fps,,3.5mm,"0,1835 kg",,,
	Bluetooth 5.0,128 MB,0.3 MP,,	Unisoc T107 (22 nm),,,1450 mAh,,,Series 30+,,"MicroSD, hỗ trợ tối đa 32 GB",Có,"2.8 """,131.3 x 56.2 x 13.8 mm,https://www.nguyenkim.com/dien-thoai-nokia-8210-4g-do.html,2 nano SIM,,NOKIA8210,Đỏ,Có hỗ trợ,,,,Điện thoại Nokia 8210 4G Đỏ,Nokia,,1.490.000,48 MB,,,12 Tháng,,,,,Trung Quốc,,Nguyễn Kim,	QVGA (320 x 240) pixels,1.0 GHz Cortex-A7,,,,,,,,,,,,,
Bluetooth 5.1,128GB,"50MP (Rộng), 2MP (Cận cảnh)",8MP,MT6762,Nhựa,,5000mAh,"GPS/Glonass/Galileo, with A-GPS",,Android 12,,Tối đa 512GB,Hỗ trợ,"6.6 """,164.66 x 75.4 x 8.99 mm,https://www.nguyenkim.com/dien-thoai-tcl-408-4gb-128gb-xam.html,Nano SIM,HD+,TCL408 (T507U),Xám,"B1/3/5/7/8/13/20/28/38/40/41; Cat 4 DL 150Mbit/s, Cat5 UL 75Mbit/s",Không hỗ trợ,,Có hỗ trợ,Điện thoại TCL 408 4GB/128GB Xám,TCL,2023,2.490.000,4GB,Không hỗ trợ,Nguyên khối,18 Tháng,,,Type-C,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Trung Quốc,,Nguyễn Kim,HD+ (720x1612) pixels,4x A53 2.0GHz + 4x A53 1.5GHz,,190 gram,,"Củ sạc, USB cáp, tấm dán màn hình, HDSD",,2 Nano SIM,"1080P@30fps, MPEG2, H.263, MPEG4, H.264, H.265, VP8, VP9",400nits,Hỗ trợ,,Hỗ trợ,"B1/2/4/5/8; HSPA+ (42Mbps DL, 11Mbps UL)",
Bluetooth 5.2,128GB,"108MP (Chính Prolight), 2MP (chân dung)",16MP,Chip Helio G99,"Khung viền Nhựa, mặt lưng Thủy tinh acrylic",Có,5000mAh,"GPS, AGPS, Beidou, Glonass, Galileo",Có,Realme UI 4.0 trên nền tảng Android 13,SuperVOOC 67W,Hỗ trợ tối đa 1 TB,,"6.4 """,159.9 x 73.3 x 7.95 mm,https://www.nguyenkim.com/dien-thoai-realme-11-4g-8gb-128gb-den.html,2 nano SIM + 1 khe thẻ nhớ,Super AMOLED,REALME 11 8-128GB (RMX3636),Đen,Hỗ trợ,,Mở khoá vân tay cạnh viền,,Điện thoại Realme 11 4G 8GB/128GB Đen,Realme,2023,6.390.000,8GB,Không,Nguyên khối,12 Tháng,,90Hz,Type-C,"IEEE802.11 a/b/g/n/ac (WiFi 4, WiFi 5）",Trung Quốc,Có,Nguyễn Kim,Full HD+ (2400x1080) pixels,,Không,178g,,"Cáp USB Type-C, Củ sạc 67W, Ốp lưng bảo vệ, Que lấy SIM, Miếng dán màn hình dán sẵn, Sách hướng dẫn sử dụng sản phẩm, Thông tin quan trọng về sản phẩm và Phiếu bảo hành",,,"HDR, Slow Motion",,3.5mm,,,,
,256 GB,50 MP F1.8 OIS (Rộng); 12 MP F2.2 (Siêu Rộng); 5 MP F2.4 (Cận cảnh),32MP F2.2,Exynos 1380 8 nhân,Mặt lưng kính,,5000 mAh,,,"Android 13, One UI 5",Tối đa 25W,Thẻ nhớ tối đa 1TB,,"6.4 """,158.2 x 76.7 x 8.2 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a54-5g-8gb-256gb-tim.html,Nano SIM,"Super AMOLED, 1000 nits, Eye-care giảm tới 50% ánh sáng xanh",A54 5G (SM-A546E/DS),Tím,,Hỗ trợ 5G,Vân tay trong màn hình,,Điện thoại Samsung Galaxy A54 5G 8GB/256GB Tím,Samsung,2023,8.990.000,8 GB,,,12 Tháng,,120 Hz,Type-C,,Việt Nam,,Nguyễn Kim,FHD+ pixels,,IP67,,,,,,,,,0.202 kg,Loa kép âm thanh vòm Dolby Atmos,,
v5.3,256GB,50MP + 12MP + 10MP,Camera trước ở màn hình phụ: 10 MP. Camera ẩn dưới màn hình: 4 MP,Snapdragon® 8 Gen 2 dành cho Galaxy,Khung viền: Armor aluminum và mặt lưng Gorilla Glass Victus 2,Có,4400mAh,"GPS,Glonass,Beidou,Galileo,QZSS",Có,"Android 13, One UI 5.1.1",Sạc nhanh 25W,Không,Không,"Chính 7.6"". Phụ 6.2 """,Mở: 154.9 x 129.9 x 6.1 mm. Đóng: 154.9 x 67.1 x 13.4 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-z-fold-5-5g-12gb-256gb-den.html,Nano-sim & E-sim,Dynamic AMOLED 2X,FOLD 5 256GB (SM-F946B),Đen,,Có,"Mở khoá khuôn mặt, Mở khoá vân tay cạnh viền",Có,Điện thoại Samsung Galaxy Z Fold 5 5G 12GB/256GB Đen,Samsung,2023,30.490.000,12GB,Không,"Nguyên khối, Màn hình gập",12 Tháng,Samsung Pay,120Hz,Type-C,"802.11 a/b/g/n/ac/ax 2.4G+5GHz+6GHz, HE160, MIMO, 1024-QAM",Việt Nam,Có,Nguyễn Kim,Chính 1812 x 2176 pixels. Phụ: 904 x 2316 pixels,,IPx8,253g,,,,,UHD 8K (7680 x 4320)@30fps,,Không,,Có,,
5.3,64 GB,50 MP (chính) + VGA - Khẩu độ F/1.8 + F/2.8,5 MP,"MediaTek Helio G35, tối đa 2.3GHz",,,5000mAh,Có,Có,Android 12 (ColorOS 12.1.1),10 W,"MicroSD, hỗ trợ tối đa 1 TB",Có,"6.56 """,164.2 x 75.6 x 8.3 mm,https://www.nguyenkim.com/dien-thoai-oppo-a17-4gb-64gb-xanh.html,2 Nano SIM + 1 thẻ nhớ,LCD,A17 (CPH2477),Xanh,Hỗ trợ 4G,,Mở khóa bằng vân tay,,Điện thoại OPPO A17 4GB/64GB Xanh,OPPO,2022,3.290.000,4 GB,Có,Nguyên khối,12 Tháng,,60 Hz,Micro USB,"2.4G/5G, 802.11 a/b/g/n/ac",Trung Quốc,,Nguyễn Kim,HD+ (720 x 1612) pixels,,IPX4,,,,,,,,,,,,
Bluetooth 5.1,256GB,"50MP (main), 2MP (depth), 2MP (macro)",8MP,MediaTek Helio G37,Nhựa,,5010mAh,"support BDS/GPS/Glonass/Galileo, with A-GPS",,Android 13,,Tối đa 1TB,Hỗ trợ,"6.75 """,167.91x76.5x8.45 mm,https://www.nguyenkim.com/dien-thoai-tcl-40se-6gb-256gb-xam.html,Nano SIM,HD+,TCL40SE (T610K),Xám,B1/3/5/7/8/13/20/28/38/40/41 (2496-2690MHz ),Không hỗ trợ,,Có hỗ trợ,Điện thoại TCL 40SE 6GB/256GB Xám,TCL,2023,3.390.000,6GB,Không hỗ trợ,Nguyên khối,18 Tháng,,90Hz,Type-C,"802.11 a/b/g/n/ac ,Wi-Fi direct, Wi-Fi display",Việt Nam,,Nguyễn Kim,HD+ (720x1600) pixels,6 x Cortex-A53 @ 2.3GHz+4 x Cortex-A53 @ 1.8GHz,,190 gram,,"Củ sạc, USB cáp, tấm dán màn hình, HDSD",,2 Nano SIM,"AAC, HE-AAC v1, HE-AAC v2, AMR, AWB, MIDI, MP3, OGG VORBIS, WAV( Alaw/ Ulaw), WAV(Raw), FLAC,OPUS",450nits,Hỗ trợ,,Hỗ trợ,B1/2/5/8,
Bluetooth 5.1,128GB,"50MP (main), 2MP (depth), 2MP (macro)",8MP,MediaTek Helio G37,Nhựa,,5010mAh,"support BDS/GPS/Glonass/Galileo, with A-GPS",,Android 13,,Tối đa 1TB,Hỗ trợ,"6.75 """,167.91x76.5x8.45 mm,https://www.nguyenkim.com/dien-thoai-tcl-40se-4gb-128gb-xam.html,Nano SIM,HD+,TCL40SE (T610K),Xám,B1/3/5/7/8/13/20/28/38/40/41 (2496-2690MHz ),Không hỗ trợ,,Có hỗ trợ,Điện thoại TCL 40SE 4GB/128GB Xám,TCL,2023,2.850.000,4GB,Không hỗ trợ,Nguyên khối,18 Tháng,,90Hz,Type-C,"802.11 a/b/g/n/ac ,Wi-Fi direct, Wi-Fi display",Trung Quốc,,Nguyễn Kim,HD+ (720x1600) pixels,4 x Cortex-A53 @ 2.3GHz+4 x Cortex-A53 @ 1.8GHz,,190 gram,,"Củ sạc, USB cáp, tấm dán màn hình, HDSD",,2 Nano SIM,"AAC, HE-AAC v1, HE-AAC v2, AMR, AWB, MIDI, MP3, OGG VORBIS, WAV( Alaw/ Ulaw), WAV(Raw), FLAC,OPUS",450nits,Hỗ trợ,,Hỗ trợ,B1/2/5/8,
